cod_cand,desc_lista
1347096,UNIONE POPOLARE CON DE MAGISTRIS
1347097,UNIONE POPOLARE CON DE MAGISTRIS
1347116,UNIONE POPOLARE CON DE MAGISTRIS
1347118,VITA
1347119,UNIONE POPOLARE CON DE MAGISTRIS
1347120,ITALEXIT PER L'ITALIA
1347121,ITALIA SOVRANA E POPOLARE
1347122,ALTERNATIVA PER L'ITALIA - NO GREEN PASS
1347123,VITA
1347124,UNIONE POPOLARE CON DE MAGISTRIS
1347133,UNIONE POPOLARE CON DE MAGISTRIS
1347134,UNIONE POPOLARE CON DE MAGISTRIS
1347135,UNIONE POPOLARE CON DE MAGISTRIS
1347142,MASTELLA NOI DI CENTRO EUROPEISTI
1347184,MOVIMENTO 5 STELLE
1347196,UNIONE POPOLARE CON DE MAGISTRIS
1347225,MASTELLA NOI DI CENTRO EUROPEISTI
1347282,MOVIMENTO 5 STELLE
1347285,MOVIMENTO 5 STELLE
1347286,MOVIMENTO 5 STELLE
1347287,MOVIMENTO 5 STELLE
1347290,UNIONE POPOLARE CON DE MAGISTRIS
1347293,UNIONE POPOLARE CON DE MAGISTRIS
1347296,ITALIA SOVRANA E POPOLARE
1347297,ITALIA SOVRANA E POPOLARE
1347298,ITALIA SOVRANA E POPOLARE
1347309,ITALIA SOVRANA E POPOLARE
1347310,ITALIA SOVRANA E POPOLARE
1347327,UNIONE POPOLARE CON DE MAGISTRIS
1347328,UNIONE POPOLARE CON DE MAGISTRIS
1347334,UNIONE POPOLARE CON DE MAGISTRIS
1347335,UNIONE POPOLARE CON DE MAGISTRIS
1347336,ITALEXIT PER L'ITALIA
1347337,ITALIA SOVRANA E POPOLARE
1347338,ALTERNATIVA PER L'ITALIA - NO GREEN PASS
1347341,UNIONE POPOLARE CON DE MAGISTRIS
1347342,UNIONE POPOLARE CON DE MAGISTRIS
1347448,VITA
1347449,MOVIMENTO 5 STELLE
1347453,VITA
1347456,MOVIMENTO 5 STELLE
1347468,MOVIMENTO 5 STELLE
1347512,UNIONE POPOLARE CON DE MAGISTRIS
1347513,UNIONE POPOLARE CON DE MAGISTRIS
1347522,ITALIA SOVRANA E POPOLARE
1347525,ITALIA SOVRANA E POPOLARE
1347539,VITA
1347551,MOVIMENTO 5 STELLE
1347572,VITA
1347573,VITA
1347609,VITA
1347610,MOVIMENTO 5 STELLE
1347613,MOVIMENTO 5 STELLE
1347614,VITA
1347639,MOVIMENTO 5 STELLE
1347652,ITALIA SOVRANA E POPOLARE
1347654,ITALIA SOVRANA E POPOLARE
1347669,ITALIA SOVRANA E POPOLARE
1347672,ITALIA SOVRANA E POPOLARE
1347674,ITALIA SOVRANA E POPOLARE
1347707,ITALEXIT PER L'ITALIA
1347712,UNIONE POPOLARE CON DE MAGISTRIS
1347715,ITALIA SOVRANA E POPOLARE
1347716,ITALEXIT PER L'ITALIA
1347722,UNIONE POPOLARE CON DE MAGISTRIS
1347723,UNIONE POPOLARE CON DE MAGISTRIS
1347726,ITALEXIT PER L'ITALIA
1347730,MASTELLA NOI DI CENTRO EUROPEISTI
1347735,MOVIMENTO 5 STELLE
1347736,MOVIMENTO 5 STELLE
