cod_cand,lista,num_lista,cod_lista,desc_lista
1347082,0,1,415412,ITALIA SOVRANA E POPOLARE
1347083,0,1,415412,ITALIA SOVRANA E POPOLARE
1347086,0,1,415416,ITALIA SOVRANA E POPOLARE
1347087,0,1,415416,ITALIA SOVRANA E POPOLARE
1347088,0,1,415416,ITALIA SOVRANA E POPOLARE
1347090,0,1,415421,ITALIA SOVRANA E POPOLARE
1347091,0,1,415421,ITALIA SOVRANA E POPOLARE
1347092,0,1,415421,ITALIA SOVRANA E POPOLARE
1347093,0,1,415421,ITALIA SOVRANA E POPOLARE
1347111,0,7,415438,MOVIMENTO 5 STELLE
1347114,0,7,415438,MOVIMENTO 5 STELLE
1347136,0,1,415706,FREE
1347138,0,1,415706,FREE
1347146,0,17,415575,UNIONE POPOLARE CON DE MAGISTRIS
1347148,0,17,415575,UNIONE POPOLARE CON DE MAGISTRIS
1347157,0,17,415584,UNIONE POPOLARE CON DE MAGISTRIS
1347175,0,14,415599,UNIONE POPOLARE CON DE MAGISTRIS
1347185,0,1,415412,ITALIA SOVRANA E POPOLARE
1347191,0,1,415416,ITALIA SOVRANA E POPOLARE
1347209,0,11,415664,ITALEXIT PER L'ITALIA
1347211,0,11,415664,ITALEXIT PER L'ITALIA
1347213,0,11,415664,ITALEXIT PER L'ITALIA
1347214,0,11,415668,ITALEXIT PER L'ITALIA
1347215,0,11,415668,ITALEXIT PER L'ITALIA
1347216,0,11,415668,ITALEXIT PER L'ITALIA
1347218,0,7,415438,MOVIMENTO 5 STELLE
1347221,0,7,415435,MOVIMENTO 5 STELLE
1347222,0,7,415435,MOVIMENTO 5 STELLE
1347232,0,17,415579,UNIONE POPOLARE CON DE MAGISTRIS
1347233,0,7,415590,ITALIA SOVRANA E POPOLARE
1347234,0,7,415590,ITALIA SOVRANA E POPOLARE
1347235,0,17,415579,UNIONE POPOLARE CON DE MAGISTRIS
1347236,0,17,415579,UNIONE POPOLARE CON DE MAGISTRIS
1347237,0,17,415579,UNIONE POPOLARE CON DE MAGISTRIS
1347244,0,17,415584,UNIONE POPOLARE CON DE MAGISTRIS
1347249,0,3,415747,UNIONE POPOLARE CON DE MAGISTRIS
1347250,0,2,415735,UNIONE POPOLARE CON DE MAGISTRIS
1347258,0,14,415599,UNIONE POPOLARE CON DE MAGISTRIS
1347260,0,8,415765,MOVIMENTO 5 STELLE
1347261,0,8,415765,MOVIMENTO 5 STELLE
1347262,0,8,415765,MOVIMENTO 5 STELLE
1347263,0,2,415738,UNIONE POPOLARE CON DE MAGISTRIS
1347264,0,2,415738,UNIONE POPOLARE CON DE MAGISTRIS
1347265,0,2,415738,UNIONE POPOLARE CON DE MAGISTRIS
1347269,0,9,415729,VITA
1347270,0,9,415729,VITA
1347272,0,9,415729,VITA
1347274,0,9,415729,VITA
1347306,0,1,415691,MOVIMENTO 5 STELLE
1347307,0,1,415691,MOVIMENTO 5 STELLE
1347308,0,1,415691,MOVIMENTO 5 STELLE
