cod_cand,desc_lista
1347082,ITALIA SOVRANA E POPOLARE
1347083,ITALIA SOVRANA E POPOLARE
1347086,ITALIA SOVRANA E POPOLARE
1347087,ITALIA SOVRANA E POPOLARE
1347088,ITALIA SOVRANA E POPOLARE
1347090,ITALIA SOVRANA E POPOLARE
1347091,ITALIA SOVRANA E POPOLARE
1347092,ITALIA SOVRANA E POPOLARE
1347093,ITALIA SOVRANA E POPOLARE
1347111,MOVIMENTO 5 STELLE
1347114,MOVIMENTO 5 STELLE
1347136,FREE
1347138,FREE
1347146,UNIONE POPOLARE CON DE MAGISTRIS
1347148,UNIONE POPOLARE CON DE MAGISTRIS
1347157,UNIONE POPOLARE CON DE MAGISTRIS
1347175,UNIONE POPOLARE CON DE MAGISTRIS
1347185,ITALIA SOVRANA E POPOLARE
1347191,ITALIA SOVRANA E POPOLARE
1347209,ITALEXIT PER L'ITALIA
1347211,ITALEXIT PER L'ITALIA
1347213,ITALEXIT PER L'ITALIA
1347214,ITALEXIT PER L'ITALIA
1347215,ITALEXIT PER L'ITALIA
1347216,ITALEXIT PER L'ITALIA
1347218,MOVIMENTO 5 STELLE
1347221,MOVIMENTO 5 STELLE
1347222,MOVIMENTO 5 STELLE
1347232,UNIONE POPOLARE CON DE MAGISTRIS
1347233,ITALIA SOVRANA E POPOLARE
1347234,ITALIA SOVRANA E POPOLARE
1347235,UNIONE POPOLARE CON DE MAGISTRIS
1347236,UNIONE POPOLARE CON DE MAGISTRIS
1347237,UNIONE POPOLARE CON DE MAGISTRIS
1347244,UNIONE POPOLARE CON DE MAGISTRIS
1347249,UNIONE POPOLARE CON DE MAGISTRIS
1347250,UNIONE POPOLARE CON DE MAGISTRIS
1347258,UNIONE POPOLARE CON DE MAGISTRIS
1347260,MOVIMENTO 5 STELLE
1347261,MOVIMENTO 5 STELLE
1347262,MOVIMENTO 5 STELLE
1347263,UNIONE POPOLARE CON DE MAGISTRIS
1347264,UNIONE POPOLARE CON DE MAGISTRIS
1347265,UNIONE POPOLARE CON DE MAGISTRIS
1347269,VITA
1347270,VITA
1347272,VITA
1347274,VITA
1347306,MOVIMENTO 5 STELLE
1347307,MOVIMENTO 5 STELLE
1347308,MOVIMENTO 5 STELLE
1347316,MOVIMENTO 5 STELLE
1347318,MOVIMENTO 5 STELLE
1347329,ITALEXIT PER L'ITALIA
1347331,ITALEXIT PER L'ITALIA
1347332,ITALEXIT PER L'ITALIA
1347345,FREE
1347346,FREE
1347347,UNIONE POPOLARE CON DE MAGISTRIS
1347359,ITALEXIT PER L'ITALIA
1347360,ITALIA SOVRANA E POPOLARE
1347362,ITALEXIT PER L'ITALIA
1347364,ITALIA SOVRANA E POPOLARE
1347369,ITALEXIT PER L'ITALIA
1347371,ITALEXIT PER L'ITALIA
1347374,ITALEXIT PER L'ITALIA
1347375,UNIONE POPOLARE CON DE MAGISTRIS
1347377,UNIONE POPOLARE CON DE MAGISTRIS
1347381,UNIONE POPOLARE CON DE MAGISTRIS
1347384,UNIONE POPOLARE CON DE MAGISTRIS
1347385,UNIONE POPOLARE CON DE MAGISTRIS
1347386,UNIONE POPOLARE CON DE MAGISTRIS
1347387,UNIONE POPOLARE CON DE MAGISTRIS
1347390,UNIONE POPOLARE CON DE MAGISTRIS
1347392,UNIONE POPOLARE CON DE MAGISTRIS
1347394,UNIONE POPOLARE CON DE MAGISTRIS
1347395,UNIONE POPOLARE CON DE MAGISTRIS
1347396,UNIONE POPOLARE CON DE MAGISTRIS
1347399,UNIONE POPOLARE CON DE MAGISTRIS
1347402,UNIONE POPOLARE CON DE MAGISTRIS
1347404,UNIONE POPOLARE CON DE MAGISTRIS
1347407,MOVIMENTO 5 STELLE
1347416,UNIONE POPOLARE CON DE MAGISTRIS
1347422,ITALEXIT PER L'ITALIA
1347423,ALTERNATIVA PER L'ITALIA - NO GREEN PASS
1347425,VITA
1347427,UNIONE POPOLARE CON DE MAGISTRIS
1347428,ITALIA SOVRANA E POPOLARE
1347429,ITALIA SOVRANA E POPOLARE
1347430,ITALIA SOVRANA E POPOLARE
1347433,ITALEXIT PER L'ITALIA
1347435,ALTERNATIVA PER L'ITALIA - NO GREEN PASS
1347437,VITA
1347438,UNIONE POPOLARE CON DE MAGISTRIS
1347439,ITALIA SOVRANA E POPOLARE
1347441,ITALEXIT PER L'ITALIA
1347443,UNIONE POPOLARE CON DE MAGISTRIS
1347462,MASTELLA NOI DI CENTRO EUROPEISTI
1347465,MASTELLA NOI DI CENTRO EUROPEISTI
1347487,UNIONE POPOLARE CON DE MAGISTRIS
1347489,UNIONE POPOLARE CON DE MAGISTRIS
1347494,ITALIA SOVRANA E POPOLARE
1347498,ITALEXIT PER L'ITALIA
1347499,ITALIA SOVRANA E POPOLARE
1347500,ITALEXIT PER L'ITALIA
1347501,ITALEXIT PER L'ITALIA
1347502,ITALEXIT PER L'ITALIA
1347506,ITALIA SOVRANA E POPOLARE
1347511,ITALIA SOVRANA E POPOLARE
1347515,ITALIA SOVRANA E POPOLARE
1347517,ITALIA SOVRANA E POPOLARE
1347521,ITALIA SOVRANA E POPOLARE
1347540,UNIONE POPOLARE CON DE MAGISTRIS
1347542,VITA
