cod_cand,desc_lista
1347543,UNIONE POPOLARE CON DE MAGISTRIS
1347545,UNIONE POPOLARE CON DE MAGISTRIS
1347547,UNIONE POPOLARE CON DE MAGISTRIS
1347549,UNIONE POPOLARE CON DE MAGISTRIS
1347557,MASTELLA NOI DI CENTRO EUROPEISTI
1347559,ITALIA SOVRANA E POPOLARE
1347561,ITALEXIT PER L'ITALIA
1347566,UNIONE POPOLARE CON DE MAGISTRIS
1347567,UNIONE POPOLARE CON DE MAGISTRIS
1347575,VITA
1347583,ITALIA SOVRANA E POPOLARE
1347584,ITALIA SOVRANA E POPOLARE
1347586,ALTERNATIVA PER L'ITALIA - NO GREEN PASS
1347588,VITA
1347591,UNIONE POPOLARE CON DE MAGISTRIS
1347594,UNIONE POPOLARE CON DE MAGISTRIS
1347598,VITA
1347608,MOVIMENTO 5 STELLE
1347611,MOVIMENTO 5 STELLE
1347612,MASTELLA NOI DI CENTRO EUROPEISTI
1347619,ALTERNATIVA PER L'ITALIA - NO GREEN PASS
1347620,VITA
1347624,UNIONE POPOLARE CON DE MAGISTRIS
1347625,MASTELLA NOI DI CENTRO EUROPEISTI
1347629,MASTELLA NOI DI CENTRO EUROPEISTI
1347635,VITA
1347640,MOVIMENTO 5 STELLE
1347645,MOVIMENTO 5 STELLE
1347646,MOVIMENTO 5 STELLE
1347648,ITALIA SOVRANA E POPOLARE
1347650,MOVIMENTO 5 STELLE
1347668,VITA
1347671,VITA
1347673,VITA
1347675,ITALEXIT PER L'ITALIA
1347676,ITALEXIT PER L'ITALIA
1347684,ITALIA SOVRANA E POPOLARE
1347685,MOVIMENTO 5 STELLE
1347686,ITALIA SOVRANA E POPOLARE
1347692,ITALIA SOVRANA E POPOLARE
1347694,ITALEXIT PER L'ITALIA
1347697,UNIONE POPOLARE CON DE MAGISTRIS
1347698,MOVIMENTO 5 STELLE
1347731,ITALIA SOVRANA E POPOLARE
1347733,UNIONE POPOLARE CON DE MAGISTRIS
1347737,MOVIMENTO 5 STELLE
1347739,MOVIMENTO 5 STELLE
1347751,ITALIA SOVRANA E POPOLARE
1347754,ITALIA SOVRANA E POPOLARE
1347755,ITALIA SOVRANA E POPOLARE
1347756,UNIONE POPOLARE CON DE MAGISTRIS
1347758,UNIONE POPOLARE CON DE MAGISTRIS
1347760,ITALIA SOVRANA E POPOLARE
1347792,UNIONE POPOLARE CON DE MAGISTRIS
1347793,MOVIMENTO 5 STELLE
1347794,ITALIA SOVRANA E POPOLARE
1347796,ITALEXIT PER L'ITALIA
1347797,ITALEXIT PER L'ITALIA
1347800,ITALEXIT PER L'ITALIA
1347803,ITALEXIT PER L'ITALIA
1347838,ITALIA SOVRANA E POPOLARE
1347839,ITALIA SOVRANA E POPOLARE
1347840,ITALIA SOVRANA E POPOLARE
1347842,ITALIA SOVRANA E POPOLARE
1347845,ITALIA SOVRANA E POPOLARE
1347846,ITALIA SOVRANA E POPOLARE
1347847,ITALIA SOVRANA E POPOLARE
1347878,MOVIMENTO 5 STELLE
1347881,UNIONE POPOLARE CON DE MAGISTRIS
1347882,UNIONE POPOLARE CON DE MAGISTRIS
1347886,UNIONE POPOLARE CON DE MAGISTRIS
1347891,UNIONE POPOLARE CON DE MAGISTRIS
1347898,MASTELLA NOI DI CENTRO EUROPEISTI
1347900,MASTELLA NOI DI CENTRO EUROPEISTI
1347902,MASTELLA NOI DI CENTRO EUROPEISTI
1347904,ITALIA SOVRANA E POPOLARE
1347905,MASTELLA NOI DI CENTRO EUROPEISTI
1347906,ITALIA SOVRANA E POPOLARE
1347907,UNIONE POPOLARE CON DE MAGISTRIS
1347920,ITALIA SOVRANA E POPOLARE
1347921,UNIONE POPOLARE CON DE MAGISTRIS
1347922,MOVIMENTO 5 STELLE
1347924,MOVIMENTO 5 STELLE
1347935,ITALIA SOVRANA E POPOLARE
1347965,MOVIMENTO 5 STELLE
1347970,MOVIMENTO 5 STELLE
1347971,MOVIMENTO 5 STELLE
1347981,MOVIMENTO 5 STELLE
1347991,MOVIMENTO 5 STELLE
1347992,MOVIMENTO 5 STELLE
1348001,MOVIMENTO 5 STELLE
1348003,MOVIMENTO 5 STELLE
1348004,MOVIMENTO 5 STELLE
1348010,ITALEXIT PER L'ITALIA
1348019,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348021,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348031,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348035,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348036,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348050,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348051,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348056,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348057,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348060,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348062,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348065,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348096,MOVIMENTO 5 STELLE
1348097,ITALEXIT PER L'ITALIA
1348101,ITALEXIT PER L'ITALIA
1348108,ITALEXIT PER L'ITALIA
1348112,ITALEXIT PER L'ITALIA
1348113,ITALEXIT PER L'ITALIA
1348118,ITALEXIT PER L'ITALIA
1348119,ITALEXIT PER L'ITALIA
1348123,ITALEXIT PER L'ITALIA
1348124,ITALEXIT PER L'ITALIA
1348128,ITALEXIT PER L'ITALIA
1348130,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348131,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348134,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348161,MOVIMENTO 5 STELLE
1348162,MOVIMENTO 5 STELLE
1348164,UNIONE POPOLARE CON DE MAGISTRIS
1348165,UNIONE POPOLARE CON DE MAGISTRIS
1348167,UNIONE POPOLARE CON DE MAGISTRIS
1348168,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348170,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348171,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348173,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348174,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348182,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348183,UNIONE POPOLARE CON DE MAGISTRIS
1348185,UNIONE POPOLARE CON DE MAGISTRIS
1348190,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO
1348203,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348222,FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348228,FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348236,UNIONE POPOLARE CON DE MAGISTRIS
1348239,UNIONE POPOLARE CON DE MAGISTRIS
1348241,MOVIMENTO 5 STELLE
1348247,VITA
1348250,VITA
1348252,VITA
1348254,UNIONE POPOLARE CON DE MAGISTRIS
1348267,+EUROPA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; ALLEANZA VERDI E SINISTRA
1348286,FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348287,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348288,FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348291,ALLEANZA VERDI E SINISTRA; +EUROPA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348303,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348311,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348324,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348327,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348328,MOVIMENTO 5 STELLE
1348329,MOVIMENTO 5 STELLE
1348331,UNIONE POPOLARE CON DE MAGISTRIS
1348335,UNIONE POPOLARE CON DE MAGISTRIS
1348336,UNIONE POPOLARE CON DE MAGISTRIS
1348337,MOVIMENTO 5 STELLE
1348338,MOVIMENTO 5 STELLE
1348353,UNIONE POPOLARE CON DE MAGISTRIS
1348355,AZIONE - ITALIA VIVA - CALENDA
1348357,UNIONE POPOLARE CON DE MAGISTRIS
1348358,AZIONE - ITALIA VIVA - CALENDA
1348362,+EUROPA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; ALLEANZA VERDI E SINISTRA
1348366,AZIONE - ITALIA VIVA - CALENDA
1348375,AZIONE - ITALIA VIVA - CALENDA
1348376,AZIONE - ITALIA VIVA - CALENDA
1348377,AZIONE - ITALIA VIVA - CALENDA
1348378,AZIONE - ITALIA VIVA - CALENDA
1348384,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348389,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348399,FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348404,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348408,FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER
1348420,MOVIMENTO 5 STELLE
1348422,MOVIMENTO 5 STELLE
1348428,MOVIMENTO 5 STELLE
1348431,UNIONE POPOLARE CON DE MAGISTRIS
1348438,MOVIMENTO 5 STELLE
1348442,VITA
1348443,VITA
1348460,VITA
1348464,VITA
1348467,MOVIMENTO 5 STELLE
1348468,+EUROPA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; ALLEANZA VERDI E SINISTRA
1348470,LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348480,VITA
1348494,AZIONE - ITALIA VIVA - CALENDA
1348496,LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348498,AZIONE - ITALIA VIVA - CALENDA
1348501,AZIONE - ITALIA VIVA - CALENDA
1348502,VITA
1348503,LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348504,+EUROPA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; ALLEANZA VERDI E SINISTRA
1348505,AZIONE - ITALIA VIVA - CALENDA
1348506,VITA
1348507,LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA; NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC
1348538,+EUROPA; ALLEANZA VERDI E SINISTRA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348547,+EUROPA; ALLEANZA VERDI E SINISTRA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348566,MOVIMENTO 5 STELLE
1348575,MOVIMENTO 5 STELLE
1348586,VITA
1348602,+EUROPA; ALLEANZA VERDI E SINISTRA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348619,+EUROPA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; ALLEANZA VERDI E SINISTRA
1348621,+EUROPA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; ALLEANZA VERDI E SINISTRA
1348628,UNIONE POPOLARE CON DE MAGISTRIS
1348633,ITALIA SOVRANA E POPOLARE
1348641,ITALIA SOVRANA E POPOLARE
1348643,ITALIA SOVRANA E POPOLARE
1348650,ITALIA SOVRANA E POPOLARE
1348652,VITA
1348656,ITALIA SOVRANA E POPOLARE
1348659,ITALIA SOVRANA E POPOLARE
1348661,ITALIA SOVRANA E POPOLARE
1348664,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348667,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348683,+EUROPA; ALLEANZA VERDI E SINISTRA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA
1348726,+EUROPA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; ALLEANZA VERDI E SINISTRA
1348729,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348733,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; ALLEANZA VERDI E SINISTRA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; +EUROPA
1348739,UNIONE POPOLARE CON DE MAGISTRIS
1348744,UNIONE POPOLARE CON DE MAGISTRIS
1348745,UNIONE POPOLARE CON DE MAGISTRIS
1348746,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER
1348747,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348755,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348759,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348760,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; ALLEANZA VERDI E SINISTRA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; +EUROPA
1348794,+EUROPA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; ALLEANZA VERDI E SINISTRA
1348814,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348816,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348817,UNIONE POPOLARE CON DE MAGISTRIS
1348819,UNIONE POPOLARE CON DE MAGISTRIS
1348824,UNIONE POPOLARE CON DE MAGISTRIS
1348825,ITALIA SOVRANA E POPOLARE
1348835,VITA
1348837,VITA
1348838,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER
1348841,VITA
1348842,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; ALLEANZA VERDI E SINISTRA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; +EUROPA
1348848,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER
1348849,ITALIA SOVRANA E POPOLARE
1348854,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; ALLEANZA VERDI E SINISTRA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO; +EUROPA
1348856,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348858,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348860,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; FORZA ITALIA; FRATELLI D'ITALIA CON GIORGIA MELONI; LEGA PER SALVINI PREMIER
1348866,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348867,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348871,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348872,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348885,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348890,UNIONE POPOLARE CON DE MAGISTRIS
1348891,UNIONE POPOLARE CON DE MAGISTRIS
1348894,UNIONE POPOLARE CON DE MAGISTRIS
1348900,VITA
1348902,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348904,VITA
1348906,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348907,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC; LEGA PER SALVINI PREMIER; FRATELLI D'ITALIA CON GIORGIA MELONI; FORZA ITALIA
1348914,VITA
1348916,+EUROPA; ALLEANZA VERDI E SINISTRA; PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA; IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO
1348923,UNIONE POPOLARE CON DE MAGISTRIS
1348928,UNIONE POPOLARE CON DE MAGISTRIS
