id,title,slug,type,url,list,list_id
12,Programma elettorale Azione Italia Viva,programma-elettorale-azione-italia-viva,programma,https://issuu.com/azione_it/docs/impaginato,Azione-Italia Viva-Calenda,10
13,Programma elettorale Alternativa Per l'Italia,programma-elettorale-alternativa-per-litalia,programma,https://dait.interno.gov.it/documenti/trasparenza/POLITICHE_20220925/Documenti/44/(44_progr_2_)-programma_apli_pdf_a.pdf,Alternativa Per l'Italia,15
14,Programma elettorale Italia Sovrana e Popolare,programma-elettorale-italia-sovrana-e-popolare,programma,https://dait.interno.gov.it/documenti/trasparenza/POLITICHE_20220925/Documenti/86/(86_progr_2_)-programma.pdf,Italia Sovrana e Popolare,12
15,Accordo quadro di programma per un Governo di centrodestra (NoiM),accordo-quadro-di-programma-per-un-governo-di-centrodestra-noim,programma,https://dait.interno.gov.it/documenti/trasparenza/POLITICHE_20220925/Documenti/48/(48_progr_2_)-programma.pdf,Noi moderati,4
16,Programma elettorale Italexit,programma-elettorale-italexit,programma,https://dait.interno.gov.it/documenti/trasparenza/POLITICHE_20220925/Documenti/16/(16_progr_2_)-italexit_per_l_italia.programma.pdf,Italexit,11
17,Programma elettorale Impegno Civico,programma-elettorale-impegno-civico,programma,https://www.impegno-civico.it/,Impegno Civico,8
18,Programma elettorale Noi di Centro-Europeisti,programma-elettorale-noi-di-centroeuropeisti,programma,https://dait.interno.gov.it/documenti/trasparenza/POLITICHE_20220925/Documenti/8/(8_progr_2_)-programma_elettorale_della_lista_europeisti_-_noi_di_centro_-_mastella.pdf,Noi Di Centro-Europeisti,16
19,Tweet APLI 25 agosto 2022,tweet-apli-25-agosto-2022,tweet,https://twitter.com/APLI_Italia/status/1562788640018743308,Alternativa Per l'Italia,15
20,Tweet APLI 13 agosto 2022,tweet-apli-13-agosto-2022,tweet,https://twitter.com/APLI_Italia/status/1558502078921773057,Alternativa Per l'Italia,15
21,Tweet Adinolfi 24 agosto 2022,tweet-adinolfi-24-agosto-2022,tweet,https://twitter.com/marioadinolfi/status/1562436770045693958,Alternativa Per l'Italia,15
22,Tweet Toti 26 agosto 2022,tweet-toti-26-agosto-2022,tweet,https://twitter.com/GiovanniToti/status/1563105649789390849,Noi moderati,4
23,Post Berlusconi 21 agosto 2022,post-berlusconi-21-agosto-2022,post,https://www.facebook.com/SilvioBerlusconi/videos/1687886861593147,Forza Italia,3
24,Programma elettorale Fratelli d'Italia,programma-elettorale-fratelli-ditalia,programma,https://www.fratelli-italia.it/wp-content/uploads/2022/08/Brochure_programma_FdI_qr_def.pdf,Fratelli d'Italia,1
25,Tweet Adinolfi 30 agosto 2022,tweet-adinolfi-30-agosto-2022,programma,https://twitter.com/marioadinolfi/status/1564613651146965012,Alternativa Per l'Italia,15
26,Programma elettorale Fratelli d'Italia,programma-elettorale-fratelli-ditalia,programma,https://www.fratelli-italia.it/wp-content/uploads/2022/08/Brochure_programma_FdI_qr_def.pdf,Fratelli d'Italia,1
27,Programma elettorale Forza Italia,programma-elettorale-forza-italia,programma,http://www.forza-italia.it/speciali/Programma_Elettorale_Forza_Italia.pdf,Forza Italia,3
28,Programma elettorale Vita,programma-elettorale-vita,programma,https://www.votalavita.it/programma/,Vita,14
29,Programma elettorale Noi Moderati,programma-elettorale-noi-moderati,programma,https://www.noiconlitalia.it/wp-content/uploads/2022/09/NoiModerati_Programma2022.pdf.pdf,Noi moderati,4
