FileName,FileSize,FileType,FileTypeExtension,MIMEType,PDFVersion,Linearized,XMPToolkit,CreateDate,MetadataDate,ModifyDate,CreatorTool,Format,Producer,PageCount,Creator,righe,Title,Author
programma-elettorale-fratelli-ditalia.pdf,15717225,PDF,PDF,application/pdf,1.4,true,"Adobe XMP Core 7.1-c000 79.b0f8be9, 2021/12/08-19:11:22        ",2022:08:30 16:32:12+02:00,2022:08:30 16:32:15+02:00,2022:08:30 16:32:15+02:00,Adobe InDesign 17.1 (Macintosh),application/pdf,Adobe PDF Library 16.0.5,40,Adobe InDesign 17.1 (Macintosh),999,,
programma-elettorale-azione-italia-viva.pdf,969573,PDF,PDF,application/pdf,1.5,false,"Adobe XMP Core 5.6-c148 79.164050, 2019/10/01-18:03:16        ",2022:08:18 09:05:39+02:00,2022:08:18 09:05:40+02:00,2022:08:18 09:05:40+02:00,Adobe Illustrator 24.0 (Windows),application/pdf,Adobe PDF library 15.00,68,Adobe Illustrator 24.0 (Windows),2049,Impaginato,
programma-elettorale-unione-popolare.pdf,5432992,PDF,PDF,application/pdf,1.7,false,,2022:08:16 10:59:38+02:00,2022:08:16 10:59:38+02:00,2022:08:16 10:59:38+02:00,Serif Affinity Publisher 1.10.5,,PDFlib+PDI 9.3.1-i (Win32),15,Salvio Calamera,564,Programma elettorale - Unione Popolare,Salvio Calamera
programma-elettorale-lega.pdf,1632176,PDF,PDF,application/pdf,1.5,true,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",2022:08:18 18:36:27+02:00,2022:08:18 18:37:07+02:00,2022:08:18 18:37:07+02:00,Adobe InDesign 17.3 (Macintosh),application/pdf,Adobe PDF Library 16.0.7,202,Adobe InDesign 17.3 (Macintosh),6402,,
programma-elettorale-forza-italia.pdf,5765596,PDF,PDF,application/pdf,1.4,false,,2022:08:21 01:40:13+02:00,,2022:08:21 08:37:56Z,,,iLovePDF,36,Adobe Illustrator 26.0 (Windows),754,programma,
programma-elettorale-noi-moderati.pdf,646538,PDF,PDF,application/pdf,1.6,false,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",2022:09:02 12:07:09+02:00,2022:09:02 12:29:49+02:00,2022:09:02 12:29:49+02:00,Acrobat PDFMaker 22 per Word,application/pdf,Adobe PDF Library 22.2.223,34,Utente,1274,,Utente
programma-elettorale-pd.pdf,453885,PDF,PDF,application/pdf,1.7,false,3.1-701,2022:08:16 19:47:55+02:00,,2022:08:16 19:47:55+02:00,Microsoft® Word per Microsoft 365,,Microsoft® Word per Microsoft 365,37,Socialcom SRL,1639,,Socialcom SRL
programma-elettorale-europa.pdf,1928437,PDF,PDF,application/pdf,1.4,true,"Adobe XMP Core 6.0-c006 120.7d0d897, 2021/06/30-14:05:38        ",2022:08:23 12:05:05+02:00,2022:08:23 12:05:07+02:00,2022:08:23 12:05:07+02:00,Adobe InDesign 16.4 (Macintosh),application/pdf,Adobe PDF Library 16.0,35,Adobe InDesign 16.4 (Macintosh),1712,,
programma-elettorale-m5s.pdf,1225195,PDF,PDF,application/pdf,1.4,true,"Adobe XMP Core 6.0-c002 79.164519, 2020/08/25-17:54:00        ",2022:08:13 15:44:03+02:00,2022:08:13 15:44:03+02:00,2022:08:13 15:44:03+02:00,Adobe Illustrator 25.0 (Macintosh),application/pdf,Adobe PDF library 15.00,13,Adobe Illustrator 25.0 (Macintosh),468,Programma M5S 2022-cuore e coraggio,
