SU20_COD,desc_ente,cod_ente
10001,PIEMONTE - U01,CU0111
10002,PIEMONTE - U02,CU0112
10003,PIEMONTE - U03,CU0121
10004,PIEMONTE - U04,CU0122
10005,PIEMONTE - U05,CU0123
20001,VALLE D'AOSTA - U01,CU0201
30001,LOMBARDIA - U01,CU0311
30002,LOMBARDIA - U02,CU0312
30003,LOMBARDIA - U03,CU0321
30004,LOMBARDIA - U04,CU0322
30005,LOMBARDIA - U05,CU0323
30006,LOMBARDIA - U06,CU0313
30007,LOMBARDIA - U07,CU0331
30008,LOMBARDIA - U08,CU0332
30009,LOMBARDIA - U09,CU0333
30010,LOMBARDIA - U10,CU0324
30011,LOMBARDIA - U11,CU0334
40001,TRENTINO-ALTO ADIGE/SÜDTIROL - U01,CU2101
40002,TRENTINO-ALTO ADIGE/SÜDTIROL - U02,CU2102
40003,TRENTINO-ALTO ADIGE/SÜDTIROL - U03,CU2103
40004,TRENTINO-ALTO ADIGE/SÜDTIROL - U04,CU2104
40005,TRENTINO-ALTO ADIGE/SÜDTIROL - U05,CU2105
40006,TRENTINO-ALTO ADIGE/SÜDTIROL - U06,CU2106
50001,VENETO - U01,CU0511
50002,VENETO - U02,CU0512
50003,VENETO - U03,CU0521
50004,VENETO - U04,CU0522
50005,VENETO - U05,CU0523
60001,FRIULI-VENEZIA GIULIA - U01,CU0611
70001,LIGURIA - U01,CU0711
70002,LIGURIA - U02,CU0712
80001,EMILIA-ROMAGNA - U01,CU0811
80002,EMILIA-ROMAGNA - U02,CU0812
80003,EMILIA-ROMAGNA - U03,CU0821
80004,EMILIA-ROMAGNA - U04,CU0822
80005,EMILIA-ROMAGNA - U05,CU0823
90001,TOSCANA - U01,CU0911
90002,TOSCANA - U02,CU0912
90003,TOSCANA - U03,CU0913
90004,TOSCANA - U04,CU0914
100001,UMBRIA - U01,CU1011
110001,MARCHE - U01,CU1111
110002,MARCHE - U02,CU1112
120001,LAZIO - U01,CU1221
120002,LAZIO - U02,CU1211
120003,LAZIO - U03,CU1212
120004,LAZIO - U04,CU1213
120005,LAZIO - U05,CU1222
120006,LAZIO - U06,CU1223
130001,ABRUZZO - U01,CU1311
140001,MOLISE - U01,CU1411
150001,CAMPANIA - U01,CU1521
150002,CAMPANIA - U02,CU1522
150003,CAMPANIA - U03,CU1523
150004,CAMPANIA - U04,CU1511
150005,CAMPANIA - U05,CU1512
150006,CAMPANIA - U06,CU1513
150007,CAMPANIA - U07,CU1514
160001,PUGLIA - U01,CU1611
160002,PUGLIA - U02,CU1612
160003,PUGLIA - U03,CU1613
160004,PUGLIA - U04,CU1614
160005,PUGLIA - U05,CU1615
170001,BASILICATA - U01,CU1711
180001,CALABRIA - U01,CU1811
180002,CALABRIA - U02,CU1812
190001,SICILIA - U01,CU1911
190002,SICILIA - U02,CU1912
190003,SICILIA - U03,CU1913
190004,SICILIA - U04,CU1921
190005,SICILIA - U05,CU1922
190006,SICILIA - U06,CU1923
200001,SARDEGNA - U01,CU2011
200002,SARDEGNA - U02,CU2012
