CP20_COD,desc_ente,cod_ente
10101,PIEMONTE 1 - P01,CP011
10102,PIEMONTE 1 - P02,CP012
10201,PIEMONTE 2 - P01,CP021
10202,PIEMONTE 2 - P02,CP022
30101,LOMBARDIA 1 - P01,CP031
30102,LOMBARDIA 1 - P02,CP032
30201,LOMBARDIA 2 - P01,CP041
30202,LOMBARDIA 2 - P02,CP042
30301,LOMBARDIA 3 - P01,CP051
30302,LOMBARDIA 3 - P02,CP052
30401,LOMBARDIA 4 - P01,CP061
40001,TRENTINO-ALTO ADIGE/SÜDTIROL - P01,CP281
50101,VENETO 1 - P01,CP071
50201,VENETO 2 - P01,CP081
50202,VENETO 2 - P02,CP082
50203,VENETO 2 - P03,CP083
60001,FRIULI-VENEZIA GIULIA - P01,CP091
70001,LIGURIA - P01,CP101
80001,EMILIA-ROMAGNA - P01,CP111
80002,EMILIA-ROMAGNA - P02,CP112
80003,EMILIA-ROMAGNA - P03,CP113
90001,TOSCANA - P01,CP121
90002,TOSCANA - P02,CP122
90003,TOSCANA - P03,CP123
100001,UMBRIA - P01,CP131
110001,MARCHE - P01,CP141
120101,LAZIO 1 - P01,CP151
120102,LAZIO 1 - P02,CP152
120103,LAZIO 1 - P03,CP153
120201,LAZIO 2 - P01,CP161
120202,LAZIO 2 - P02,CP162
130001,ABRUZZO - P01,CP171
140001,MOLISE - P01,CP181
150101,CAMPANIA 1 - P01,CP191
150102,CAMPANIA 1 - P02,CP192
150201,CAMPANIA 2 - P01,CP201
150202,CAMPANIA 2 - P02,CP202
160001,PUGLIA - P01,CP211
160002,PUGLIA - P02,CP212
160003,PUGLIA - P03,CP213
160004,PUGLIA - P04,CP214
170001,BASILICATA - P01,CP221
180001,CALABRIA - P01,CP231
190101,SICILIA 1 - P01,CP241
190102,SICILIA 1 - P02,CP242
190201,SICILIA 2 - P01,CP251
190202,SICILIA 2 - P02,CP252
190203,SICILIA 2 - P03,CP253
200001,SARDEGNA - P01,CP261
