n_ord,nome_c,cogn_c,partito,FileName,FileSize,FileType,FileTypeExtension,MIMEType,PDFVersion,Linearized,PageCount,XMPToolkit,Producer,Creator,CreatorTool,CreateDate,ModifyDate,Author,righe,Format,Conformance,Title,MetadataDate
30,ANTONIO,PIARULLI,PENSIERO E AZIONE PPA,(30_progr_2_)-24_progr_politico.pdf,11499167,PDF,PDF,application/pdf,1.4,true,13,"Adobe XMP Core 5.4-c006 80.159825, 2016/09/16-03:31:08        ",bizhub C3350,bizhub C3350,bizhub C3350,2018:01:17 19:03:35+01:00,2018:01:22 11:10:07+01:00,,0,application/pdf,B,,2018:01:22 11:10:07+01:00
35,GIUSEPPE ,CIRILLO DETTO OSCURATO,PARTITO DELLA FOLLIA CREATIVA,(35_progr_2_)-progrm_eletto.1.pdf,204994,PDF,PDF,application/pdf,1.7,false,1,,iLovePDF,,,,2022:08:11 17:33:48Z,,0,,,,
43,SILVIO,BERLUSCONI,FORZA ITALIA,(43_progr_2_)-pdfa_-_programma_forza_italia_politiche_2022.pdf,9642240,PDF,PDF,application/pdf,1.4,true,18,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",RICOH IM C2500,RICOH IM C2500,RICOH IM C2500,2022:08:11 18:21:50+02:00,2022:08:11 18:18:51+02:00,,0,application/pdf,B,,2022:08:11 18:18:51+02:00
44,MARIO,ADINOLFI,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,(44_progr_2_)-programma_apli_pdf_a.pdf,254897,PDF,PDF,application/pdf,1.6,true,1,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",Acrobat Pro DC 22 Paper Capture Plug-in,Adobe Acrobat 22.2,Adobe Acrobat 22.2,2022:08:11 21:45:20+02:00,2022:08:11 21:46:12+02:00,,45,application/pdf,B,,2022:08:11 21:46:12+02:00
45,LILLO MASSIMILIANO,MUSSO ,FORZA DEL POPOLO,(45_progr_2_)-03_programma_e_indicazione_capo_politico.pdf,25278116,PDF,PDF,application/pdf,1.7,true,5,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",,,,2022:08:12 11:01:27+02:00,2022:08:12 11:01:27+02:00,,0,application/pdf,,,2022:08:12 11:01:27+02:00
48,MAURIZIO ENZO,LUPI,NOI MODERATI / LUPI - TOTI - BRUGNARO - UDC,(48_progr_2_)-programma.pdf,23618724,PDF,PDF,application/pdf,1.3,false,18,,"macOS Versione 12.4 (Build 21F79) Quartz PDFContext, AppendMode 1.1",,,2022:08:12 09:41:31Z,2022:08:12 09:43:40Z,,0,,,,
53,ROBERTO,FIORE,FORZA NUOVA - APF,(53_progr_2_)-programma.pdf,114572,PDF,PDF,application/pdf,1.4,false,1,3.1-701,Microsoft® Word 2013,Simonetta Sarta,Microsoft® Word 2013,2022:08:21 15:36:15+02:00,2022:08:21 15:36:15+02:00,Simonetta Sarta,15,,A,,
54,LUIGI,DI MAIO,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,(54_progr_2_)-programma_impegno_civico-ldm-cd_autenticato.docx.pdf,1484332,PDF,PDF,application/pdf,1.3,false,5,,,,,,,,0,,,,
60,VINCENZO,CASTELLANO,L'ITALIA DEL MERIDIONE,(60_progr_2_)-60_-_programma_elettorale.pdf,1194011,PDF,PDF,application/pdf,1.6,false,17,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",Develop ineo+ 458,,45C-9,2022:08:22 10:05:04+01:00,2022:08:22 11:23:00+02:00,,0,application/pdf,,l'Italia del Meridione,2022:08:22 11:23+02:00
65,ANGELO,BONELLI,ALLEANZA VERDI E SINISTRA,(65_progr_2_)-programma_di_alleanza_verdi_e_sinistra_in_pdfa.pdf,3238095,PDF,PDF,application/pdf,1.4,false,38,,Xerox AltaLink C8035,Xerox AltaLink C8035,Xerox AltaLink C8035,2022:08:12 21:52:26Z,2022:08:12 21:52:26Z,,2033,,B,,2022:08:12 21:52:26Z
68,GIORGIA,MELONI,FRATELLI D'ITALIA CON GIORGIA MELONI,(68_progr_2_)-programma.pdf,10466492,PDF,PDF,application/pdf,1.4,false,19,"Adobe XMP Core 4.2.1-c041 52.342996, 2008/05/07-20:48:00        ",,,hp officejetpro,2022:08:12 11:02:41+00:00,,,0,application/pdf,,,
74,GIUSEPPE,CONTE,MOVIMENTO 5 STELLE,(74_progr_2_)-programma_m5s_2022-cuore_e_coraggio.pdf,1225195,PDF,PDF,application/pdf,1.4,true,13,"Adobe XMP Core 6.0-c002 79.164519, 2020/08/25-17:54:00        ",Adobe PDF library 15.00,Adobe Illustrator 25.0 (Macintosh),Adobe Illustrator 25.0 (Macintosh),2022:08:13 15:44:03+02:00,2022:08:13 15:44:03+02:00,,468,application/pdf,,Programma M5S 2022-cuore e coraggio,2022:08:13 15:44:03+02:00
75,ENRICO,LETTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,(75_progr_2_)-programma_politiche_2022.pdf,16274251,PDF,PDF,application/pdf,1.4,false,24,,RICOH Aficio MP C4502,RICOH Aficio MP C4502,RICOH Aficio MP C4502,2022:08:13 13:57:29+02:00,2022:08:13 13:57:29+02:00,,0,,A,,
76,MASSIMILIANO,PANERO,DESTRE UNITE,(76_progr_2_)-07_-_programma_elettorale.pdf,12770645,PDF,PDF,application/pdf,1.4,false,5,,,,,,,,0,,,,
83,LUIGI,DE MAGISTRIS,UNIONE POPOLARE CON DE MAGISTRIS,(83_progr_2_)-programma_elettorale_a.pdf,6762061,PDF,PDF,application/pdf,1.7,false,13,"XMP toolkit 2.9.1-13, framework 1.6",GPL Ghostscript 9.53.3,,PDF24 Tools,2022:08:13 17:12:10Z,2022:08:13 17:12:10Z,,0,application/pdf,B,,
86,GIOVANNA,COLONE,ITALIA SOVRANA E POPOLARE,(86_progr_2_)-programma.pdf,805371,PDF,PDF,application/pdf,1.7,false,2,3-Heights(TM) XMP Library 6.11.0.7 (http://www.pdf-tools.com),iLovePDF,ITALIA SOVRANA E POPOLARE,NAPS2,2022:08:13 22:21:42+02:00,2022:08:13 20:30:38Z,ITALIA SOVRANA E POPOLARE,96,application/pdf,B,PROGRAMMA ELETTORALE DEL GRUPPO POLITICO ITALIA SOVRANA,2022:08:13 20:30:38Z
88,MARCO,CAPPATO,REFERENDUM E DEMOCRAZIA,(88_progr_2_)-programma.pdf,462654,PDF,PDF,application/pdf,1.4,false,5,,Amyuni PDF Converter version 4.5.3.5,,,2022:08:05 17:19:57+02:00,,,28,,B,atto.pdf,2022:08:05 17:19:57+02:00
90,CRISTIANO,CERIELLO,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,(90_progr_2_)-all_programma_elettorale_partito_animalista_italiano.pdf,21441633,PDF,PDF,application/pdf,1.3,false,21,,,,,,,,0,,,,
92,EMMA,BONINO ,+EUROPA,(92_progr_2_)-piu_europa.programma.pdf,12405090,PDF,PDF,application/pdf,1.4,false,15,3-Heights(TM) XMP Library 6.11.0.7 (http://www.pdf-tools.com),iLovePDF,,,2022:08:14 09:40:23Z,2022:08:14 09:45:19Z,,0,application/pdf,B,,2022:08:14 09:45:19Z
98,ANTONELLO ROCCO,DE PIERRO,ITALIA DEI DIRITTI - DE PIERRO,(98_progr_2_)-programma_elettorale_e_dichiarazione_di_assenso_autenticata_20220812_184408.pdf_a.pdf,3340641,PDF,PDF,application/pdf,1.4,false,6,PDFNet,,,,2022:08:12 16:48:40Z,2022:08:12 16:48:40Z,,0,,A,,
32,MARCO,FERRANDO ,PARTITO COMUNISTA DEI LAVORATORI,,,,,,,,,,,,,,,,,,,,
