n_ord,tp_doc,desc_tp,f_doc
7,2,Programma elettorale del partito o gruppo politico,(7_progr_2_)-programma_azione-italia_viva-calenda.pdf
8,2,Programma elettorale del partito o gruppo politico,(8_progr_2_)-programma_elettorale_della_lista_europeisti_-_noi_di_centro_-_mastella.pdf
9,2,Programma elettorale del partito o gruppo politico,(9_progr_2_)-lega_per_salvini_premier.programma.pdf
10,2,Programma elettorale del partito o gruppo politico,(10_progr_2_)-sud_chiama_nord.programma.pdf
12,2,Programma elettorale del partito o gruppo politico,(12_progr_2_)-12_-_programma_elettorale.pdf
16,2,Programma elettorale del partito o gruppo politico,(16_progr_2_)-italexit_per_l_italia.programma.pdf
19,2,Programma elettorale del partito o gruppo politico,(19_progr_2_)-pci.programma.pdf
21,2,Programma elettorale del partito o gruppo politico,(21_progr_2_)-vita.programma_elettorale.pdf
22,2,Programma elettorale del partito o gruppo politico,(22_progr_2_)-programma_firmato1.pdf
29,2,Programma elettorale del partito o gruppo politico,(29_progr_2_)-programma.pdf
30,2,Programma elettorale del partito o gruppo politico,(30_progr_2_)-24_progr_politico.pdf
32,2,Programma elettorale del partito o gruppo politico,(32_progr_2_)-partito_comunista_dei_lavoratori.programma.doc
35,2,Programma elettorale del partito o gruppo politico,(35_progr_2_)-progrm_eletto.1.pdf
43,2,Programma elettorale del partito o gruppo politico,(43_progr_2_)-pdfa_-_programma_forza_italia_politiche_2022.pdf
44,2,Programma elettorale del partito o gruppo politico,(44_progr_2_)-programma_apli_pdf_a.pdf
45,2,Programma elettorale del partito o gruppo politico,(45_progr_2_)-03_programma_e_indicazione_capo_politico.pdf
48,2,Programma elettorale del partito o gruppo politico,(48_progr_2_)-programma.pdf
53,2,Programma elettorale del partito o gruppo politico,(53_progr_2_)-programma.pdf
54,2,Programma elettorale del partito o gruppo politico,(54_progr_2_)-programma_impegno_civico-ldm-cd_autenticato.docx.pdf
60,2,Programma elettorale del partito o gruppo politico,(60_progr_2_)-60_-_programma_elettorale.pdf
65,2,Programma elettorale del partito o gruppo politico,(65_progr_2_)-programma_di_alleanza_verdi_e_sinistra_in_pdfa.pdf
68,2,Programma elettorale del partito o gruppo politico,(68_progr_2_)-programma.pdf
74,2,Programma elettorale del partito o gruppo politico,(74_progr_2_)-programma_m5s_2022-cuore_e_coraggio.pdf
75,2,Programma elettorale del partito o gruppo politico,(75_progr_2_)-programma_politiche_2022.pdf
76,2,Programma elettorale del partito o gruppo politico,(76_progr_2_)-07_-_programma_elettorale.pdf
83,2,Programma elettorale del partito o gruppo politico,(83_progr_2_)-programma_elettorale_a.pdf
86,2,Programma elettorale del partito o gruppo politico,(86_progr_2_)-programma.pdf
88,2,Programma elettorale del partito o gruppo politico,(88_progr_2_)-programma.pdf
90,2,Programma elettorale del partito o gruppo politico,(90_progr_2_)-all_programma_elettorale_partito_animalista_italiano.pdf
92,2,Programma elettorale del partito o gruppo politico,(92_progr_2_)-piu_europa.programma.pdf
98,2,Programma elettorale del partito o gruppo politico,(98_progr_2_)-programma_elettorale_e_dichiarazione_di_assenso_autenticata_20220812_184408.pdf_a.pdf
