Tipo Elezione;Data Elezione;Lista;Ripartizione;Nazione;Voti Liste;Schede Nulle;Schede Bianche ;Schede Contestate;Votanti;Elettori
Senato Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;ALBANIA;32;23;5;0;629;1534
Senato Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;ALBANIA;25;23;5;0;629;1534
Senato Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;ALBANIA;246;23;5;0;629;1534
Senato Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;ALBANIA;21;23;5;0;629;1534
Senato Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;ALBANIA;75;23;5;0;629;1534
Senato Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;ALBANIA;162;23;5;0;629;1534
Senato Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;ANDORRA;6;3;2;0;69;495
Senato Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;ANDORRA;0;3;2;0;69;495
Senato Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;ANDORRA;23;3;2;0;69;495
Senato Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;ANDORRA;3;3;2;0;69;495
Senato Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;ANDORRA;4;3;2;0;69;495
Senato Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;ANDORRA;25;3;2;0;69;495
Senato Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;AUSTRIA;1121;599;243;0;12137;31659
Senato Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;AUSTRIA;231;599;243;0;12137;31659
Senato Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;AUSTRIA;1778;599;243;0;12137;31659
Senato Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;AUSTRIA;307;599;243;0;12137;31659
Senato Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;AUSTRIA;1107;599;243;0;12137;31659
Senato Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;AUSTRIA;6505;599;243;0;12137;31659
Senato Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;BELGIO;3054;1692;739;25;40171;241812
Senato Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;BELGIO;865;1692;739;25;40171;241812
Senato Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;BELGIO;8522;1692;739;25;40171;241812
Senato Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;BELGIO;3101;1692;739;25;40171;241812
Senato Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;BELGIO;3529;1692;739;25;40171;241812
Senato Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;BELGIO;16455;1692;739;25;40171;241812
Senato Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;BULGARIA;46;62;8;0;905;2750
