CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis,seggi
03-032,22,20513,1.05,3,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
03-032,25,165517,8.47,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
03-032,27,427274,21.87,1,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
03-032,27,91042,4.66,1,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
03-032,27,88183,4.51,1,0,2,18,+EUROPA,3-20220925000000-18.png,0
03-032,27,7740,0.40,1,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
03-032,34,34267,1.75,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
03-033,1,144710,8.97,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
03-033,8,17905,1.11,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
03-033,9,1919,0.12,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
03-033,13,15162,0.94,0,0,0,6,VITA,3-20220925000000-6.png,0
03-033,21,16884,1.05,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
03-033,22,495089,30.69,3,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
03-033,22,261361,16.20,3,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
03-033,22,127476,7.90,3,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
03-033,22,12934,0.80,3,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
03-033,25,100126,6.21,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
03-033,27,286559,17.76,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
03-033,27,51137,3.17,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
03-033,27,47900,2.97,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
03-033,27,5220,0.32,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
03-033,34,28909,1.79,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
05-051,1,85982,7.89,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
05-051,8,12148,1.11,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
05-051,13,18125,1.66,0,0,0,6,VITA,3-20220925000000-6.png,0
05-051,21,10800,0.99,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
05-051,22,342676,31.43,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
05-051,22,164630,15.10,1,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
05-051,22,71883,6.59,1,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
05-051,22,26267,2.41,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
05-051,25,66145,6.07,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
05-051,27,180368,16.54,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
05-051,27,39906,3.66,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
05-051,27,36607,3.36,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
05-051,27,3608,0.33,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
05-051,28,4434,0.41,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
05-051,34,26860,2.46,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
05-052,1,124051,8.73,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
05-052,8,14479,1.02,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
05-052,13,24412,1.72,0,0,0,6,VITA,3-20220925000000-6.png,0
05-052,21,12503,0.88,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
05-052,22,475095,33.45,3,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
05-052,22,201636,14.20,3,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
05-052,22,102494,7.22,3,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
05-052,22,25672,1.81,3,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
05-052,25,79400,5.59,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
05-052,27,224589,15.81,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
05-052,27,47570,3.35,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
05-052,27,45101,3.18,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
05-052,27,4256,0.30,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
05-052,28,4170,0.29,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
