CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis,seggi
12-121,28,2657,0.19,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
12-121,34,19284,1.41,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
12-122,1,77053,5.88,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
12-122,4,9477,0.72,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
12-122,8,16501,1.26,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
12-122,13,6048,0.46,0,0,0,6,VITA,3-20220925000000-6.png,0
12-122,21,17176,1.31,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
12-122,22,454903,34.73,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
12-122,22,122443,9.35,1,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
12-122,22,105050,8.02,1,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
12-122,22,5062,0.39,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
12-122,25,202410,15.45,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
12-122,27,196479,15.00,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
12-122,27,34931,2.67,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
12-122,27,29239,2.23,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
12-122,27,8042,0.61,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
12-122,28,2399,0.18,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
12-122,34,22796,1.74,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
13-131,1,38006,6.09,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
13-131,8,7875,1.26,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
13-131,13,2798,0.45,0,0,0,6,VITA,3-20220925000000-6.png,0
13-131,21,10175,1.63,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
13-131,22,170181,27.25,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
13-131,22,75767,12.13,1,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
13-131,22,51685,8.28,1,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
13-131,22,4087,0.65,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
13-131,25,116909,18.72,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
13-131,27,100829,16.14,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
13-131,27,16441,2.63,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
13-131,27,12213,1.96,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
13-131,27,3965,0.63,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
13-131,28,1649,0.26,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
13-131,34,11977,1.92,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
14-141,1,5390,4.76,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
14-141,8,1777,1.57,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
14-141,9,1305,1.15,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
14-141,21,1978,1.75,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
14-141,22,25341,22.38,0,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
14-141,22,15130,13.36,0,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
14-141,22,7442,6.57,0,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
14-141,22,1565,1.38,0,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
14-141,25,27758,24.51,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
14-141,27,19942,17.61,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
14-141,27,3212,2.84,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
14-141,27,1643,1.45,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
14-141,27,758,0.67,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
15-151,1,66328,5.29,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
15-151,9,5255,0.42,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
15-151,21,28552,2.28,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
15-151,22,180699,14.40,0,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
15-151,22,133849,10.67,0,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
15-151,22,39021,3.11,0,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
15-151,22,8520,0.68,0,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
15-151,25,506462,40.36,4,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
15-151,27,185021,14.74,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
15-151,27,35415,2.82,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
15-151,27,27004,2.15,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
15-151,27,21799,1.74,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
15-151,34,17040,1.36,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
15-152,1,51700,5.20,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
15-152,9,21068,2.12,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
15-152,21,15285,1.54,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
15-152,22,222353,22.35,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
15-152,22,107284,10.78,1,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
15-152,22,53296,5.36,1,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
15-152,22,4370,0.44,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
15-152,25,278133,27.95,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
15-152,27,168773,16.96,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
15-152,27,24757,2.49,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
15-152,27,21348,2.15,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
15-152,27,11980,1.20,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
15-152,34,14603,1.47,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
16-161,1,84018,4.84,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
16-161,4,7574,0.44,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
16-161,8,15206,0.88,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
16-161,13,4823,0.28,0,0,0,6,VITA,3-20220925000000-6.png,0
16-161,16,2332,0.13,0,0,0,12,SUD CHIAMA NORD,3-20220925000000-12.png,0
16-161,21,17258,0.99,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
16-161,22,425125,24.47,5,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
16-161,22,191105,11.00,5,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
16-161,22,91978,5.29,5,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
16-161,22,11211,0.65,5,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
16-161,25,491358,28.28,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
16-161,27,278934,16.05,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
16-161,27,48316,2.78,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
16-161,27,30178,1.74,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
16-161,27,11812,0.68,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
16-161,28,3826,0.22,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
16-161,34,22352,1.29,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
17-171,1,30006,12.27,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
17-171,4,2290,0.94,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
17-171,8,2855,1.17,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
17-171,9,880,0.36,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
17-171,21,3856,1.58,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
17-171,22,46716,19.10,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
17-171,22,21983,8.99,1,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
17-171,22,17471,7.14,1,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
17-171,22,2107,0.86,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
17-171,25,59560,24.36,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
17-171,27,39557,16.18,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
17-171,27,6725,2.75,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
17-171,27,4905,2.01,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
17-171,27,2080,0.85,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
17-171,34,3557,1.45,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
18-181,1,27024,3.91,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
18-181,4,4968,0.72,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
18-181,8,9203,1.33,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
18-181,9,1028,0.15,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
18-181,13,1366,0.20,0,0,0,6,VITA,3-20220925000000-6.png,0
18-181,15,819,0.12,0,0,0,21,FORZA DEL POPOLO,3-20220925000000-21.png,0
18-181,16,2752,0.40,0,0,0,12,SUD CHIAMA NORD,3-20220925000000-12.png,0
18-181,21,13956,2.02,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
18-181,22,132107,19.12,0,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
18-181,22,112484,16.28,0,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
18-181,22,40115,5.81,0,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
18-181,22,5758,0.83,0,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
18-181,25,203030,29.39,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
18-181,27,100307,14.52,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
18-181,27,10238,1.48,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
18-181,27,7663,1.11,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
18-181,27,4795,0.69,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
18-181,28,2046,0.30,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
18-181,32,1920,0.28,0,0,0,9,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,3-20220925000000-9.png,0
18-181,34,9340,1.35,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
19-191,1,43976,4.96,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
19-191,8,10227,1.15,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
19-191,13,2626,0.30,0,0,0,6,VITA,3-20220925000000-6.png,0
19-191,16,70647,7.96,0,0,0,12,SUD CHIAMA NORD,3-20220925000000-12.png,0
19-191,21,7427,0.84,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
19-191,22,162581,18.32,0,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
19-191,22,104329,11.76,0,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
19-191,22,46327,5.22,0,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
19-191,22,9079,1.02,0,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
19-191,25,269134,30.33,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
19-191,27,108304,12.20,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
19-191,27,19216,2.17,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
19-191,27,15257,1.72,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
19-191,27,6160,0.69,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
19-191,34,12157,1.37,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
19-192,1,42548,4.05,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
19-192,8,9508,0.90,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
19-192,13,4796,0.46,0,0,0,6,VITA,3-20220925000000-6.png,0
19-192,16,186482,17.75,1,0,0,12,SUD CHIAMA NORD,3-20220925000000-12.png,0
19-192,21,8750,0.83,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
19-192,22,195221,18.58,0,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
19-192,22,104139,9.91,0,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
19-192,22,52796,5.02,0,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
19-192,22,7152,0.68,0,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
19-192,25,256828,24.44,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
19-192,27,120195,11.44,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
19-192,27,19661,1.87,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
19-192,27,15037,1.43,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
19-192,27,6236,0.59,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
19-192,28,2187,0.21,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
19-192,34,19291,1.84,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
20-201,1,30317,4.43,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
20-201,8,10719,1.57,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
20-201,13,4009,0.59,0,0,0,6,VITA,3-20220925000000-6.png,0
20-201,21,10224,1.49,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
20-201,22,154526,22.58,2,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
20-201,22,63986,9.35,2,0,1,11,FORZA ITALIA,3-20220925000000-11.png,0
20-201,22,47527,6.95,2,0,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
20-201,22,10676,1.56,2,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
20-201,25,150130,21.94,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
20-201,27,135285,19.77,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
20-201,27,29023,4.24,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
20-201,27,15950,2.33,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
20-201,27,5404,0.79,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
20-201,34,16527,2.42,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
