CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
06,34,17925,3.03,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
07,1,51948,7.22,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
07,8,11450,1.59,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
07,9,631,0.09,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
07,13,5800,0.81,0,,0,6,VITA,3-20220925000000-6.png
07,21,10929,1.52,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
07,22,175547,24.40,1,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
07,22,63193,8.78,1,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
07,22,48451,6.73,1,,2,11,FORZA ITALIA,3-20220925000000-11.png
07,22,18710,2.60,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
07,25,92897,12.91,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
07,27,159805,22.21,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
07,27,29936,4.16,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
07,27,24060,3.34,0,,2,18,+EUROPA,3-20220925000000-18.png
07,27,3341,0.46,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
07,34,18518,2.57,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
07,49,4368,0.61,0,,0,20,PARTITO COMUNISTA DEI LAVORATORI,3-20220925000000-20.png
08,1,195451,8.48,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
08,8,28346,1.23,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
08,9,1846,0.08,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
08,13,25464,1.10,0,,0,6,VITA,3-20220925000000-6.png
08,21,32556,1.41,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
08,22,575512,24.97,3,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
08,22,178248,7.73,3,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
08,22,129868,5.63,3,,2,11,FORZA ITALIA,3-20220925000000-11.png
08,22,12955,0.56,3,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
08,25,230540,10.00,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
08,27,638821,27.72,2,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
08,27,104101,4.52,2,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
08,27,76140,3.30,2,,2,18,+EUROPA,3-20220925000000-18.png
08,27,7315,0.32,2,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
08,28,6231,0.27,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
08,32,14890,0.65,0,,0,9,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,3-20220925000000-9.png
08,34,44219,1.92,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
08,46,2412,0.10,0,,0,22,DESTRE UNITE,3-20220925000000-22.png
09,1,173666,9.33,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
09,4,23881,1.28,0,,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png
