r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis,seggi
1,578,6.32,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
4,50,0.55,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
8,114,1.25,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
9,11,0.12,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
13,66,0.72,0,0,0,6,VITA,3-20220925000000-6.png,0
15,0,,0,0,0,21,FORZA DEL POPOLO,3-20220925000000-21.png,0
16,1,0.01,0,0,0,12,SUD CHIAMA NORD,3-20220925000000-12.png,0
21,100,1.09,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
22,2956,32.34,0,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
22,1173,12.84,0,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
22,771,8.44,0,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
22,41,0.45,0,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
25,888,9.72,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
27,1631,17.85,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
27,272,2.98,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
27,218,2.39,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
27,31,0.34,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
28,23,0.25,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
32,9,0.10,0,0,0,9,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,3-20220925000000-9.png,0
34,203,2.22,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
46,1,0.01,0,0,0,22,DESTRE UNITE,3-20220925000000-22.png,0
49,2,0.02,0,0,0,20,PARTITO COMUNISTA DEI LAVORATORI,3-20220925000000-20.png,0
