CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
04-041,17,62598,16.16,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
04-041,17,13696,3.54,0,,1,16,+EUROPA,2-20220925000000-16.png
04-041,17,13208,3.41,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
04-041,17,1603,0.41,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
04-041,21,3318,0.86,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
04-041,22,115683,29.87,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
04-041,22,57710,14.90,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
04-041,22,31098,8.03,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
04-041,22,4713,1.22,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
04-041,25,29069,7.51,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
04-041,34,8538,2.20,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
04-042,1,61677,9.87,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
04-042,8,6761,1.08,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
04-042,9,731,0.12,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
04-042,13,5750,0.92,0,,0,6,VITA,2-20220925000000-6.png
04-042,17,98885,15.82,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
04-042,17,21378,3.42,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
04-042,17,20784,3.32,0,,2,16,+EUROPA,2-20220925000000-16.png
04-042,17,1816,0.29,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
04-042,21,5879,0.94,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
04-042,22,191914,30.70,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
04-042,22,101810,16.29,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
04-042,22,53561,8.57,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
04-042,22,5878,0.94,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
04-042,25,36577,5.85,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
04-042,34,11693,1.87,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
05-051,1,48296,9.66,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
05-051,8,4856,0.97,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
05-051,9,422,0.08,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
05-051,13,5329,1.07,0,,0,6,VITA,2-20220925000000-6.png
05-051,17,83157,16.64,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
05-051,17,17366,3.47,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
05-051,17,15425,3.09,0,,2,16,+EUROPA,2-20220925000000-16.png
05-051,17,1455,0.29,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
05-051,21,5160,1.03,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
05-051,22,155326,31.07,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
05-051,22,85302,17.07,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
05-051,22,39539,7.91,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
05-051,22,3461,0.69,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
05-051,25,26512,5.30,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
05-051,34,8248,1.65,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
05-052,1,61137,9.51,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
05-052,8,6090,0.95,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
05-052,9,790,0.12,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
05-052,13,5417,0.84,0,,0,6,VITA,2-20220925000000-6.png
05-052,17,108760,16.92,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
05-052,17,20887,3.25,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
05-052,17,17749,2.76,0,,2,16,+EUROPA,2-20220925000000-16.png
05-052,17,2032,0.32,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
05-052,21,6801,1.06,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
05-052,22,205425,31.97,3,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
05-052,22,102033,15.88,3,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
05-052,22,50674,7.89,3,,2,11,FORZA ITALIA,2-20220925000000-11.png
05-052,22,4838,0.75,3,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
05-052,25,39114,6.09,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
05-052,34,10861,1.69,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
06-061,1,64862,8.01,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
06-061,8,8517,1.05,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
06-061,9,664,0.08,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
06-061,13,5211,0.64,0,,0,6,VITA,2-20220925000000-6.png
06-061,17,155366,19.19,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
06-061,17,23407,2.89,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
06-061,17,22089,2.73,0,,2,16,+EUROPA,2-20220925000000-16.png
06-061,17,3405,0.42,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
06-061,21,8672,1.07,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
06-061,22,249999,30.89,3,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
06-061,22,111795,13.81,3,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
06-061,22,68704,8.49,3,,2,11,FORZA ITALIA,2-20220925000000-11.png
06-061,22,5859,0.72,3,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
06-061,25,61400,7.59,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
06-061,28,2105,0.26,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
06-061,34,16555,2.05,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
06-061,51,818,0.10,0,,0,4,FREE,2-20220925000000-4.png
07-071,1,77361,8.04,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
07-071,8,11301,1.17,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
07-071,13,17291,1.80,0,,0,6,VITA,2-20220925000000-6.png
07-071,17,161814,16.81,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
07-071,17,34246,3.56,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
07-071,17,30545,3.17,0,,2,16,+EUROPA,2-20220925000000-16.png
07-071,17,3265,0.34,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
07-071,21,9696,1.01,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
07-071,22,308661,32.07,4,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
07-071,22,138756,14.42,4,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
07-071,22,60229,6.26,4,,2,11,FORZA ITALIA,2-20220925000000-11.png
07-071,22,23897,2.48,4,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
07-071,25,57976,6.02,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
07-071,28,3711,0.39,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
07-071,34,23714,2.46,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
08-081,1,51028,8.37,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
08-081,8,6235,1.02,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
08-081,13,10869,1.78,0,,0,6,VITA,2-20220925000000-6.png
08-081,17,106388,17.44,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
08-081,17,18772,3.08,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
08-081,17,18204,2.98,0,,2,16,+EUROPA,2-20220925000000-16.png
08-081,17,2397,0.39,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
08-081,21,6065,0.99,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
08-081,22,196116,32.16,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
08-081,22,86657,14.21,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
08-081,22,42735,7.01,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
08-081,22,13408,2.20,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
08-081,25,36311,5.95,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
08-081,34,14713,2.41,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
08-082,1,40062,8.89,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
08-082,8,4878,1.08,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
08-082,13,9615,2.13,0,,0,6,VITA,2-20220925000000-6.png
08-082,17,69384,15.39,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
08-082,17,15280,3.39,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
08-082,17,13681,3.04,0,,2,16,+EUROPA,2-20220925000000-16.png
08-082,17,1404,0.31,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
08-082,21,4454,0.99,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
08-082,22,146285,32.46,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
08-082,22,73017,16.20,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
08-082,22,29262,6.49,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
08-082,22,7773,1.72,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
08-082,25,23427,5.20,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
08-082,34,12207,2.71,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
08-083,1,39320,8.51,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
08-083,8,5168,1.12,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
08-083,13,6263,1.36,0,,0,6,VITA,2-20220925000000-6.png
08-083,17,67456,14.60,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
08-083,17,14389,3.11,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
08-083,17,14051,3.04,0,,2,16,+EUROPA,2-20220925000000-16.png
08-083,17,1586,0.34,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
08-083,21,4039,0.87,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
08-083,22,161882,35.03,1,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
08-083,22,63069,13.65,1,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
08-083,22,40910,8.85,1,,2,11,FORZA ITALIA,2-20220925000000-11.png
08-083,22,5828,1.26,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
08-083,25,26783,5.80,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
08-083,34,11411,2.47,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
09-091,1,50661,8.68,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
09-091,8,11228,1.92,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
09-091,9,702,0.12,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
09-091,13,8706,1.49,0,,0,6,VITA,2-20220925000000-6.png
09-091,17,106852,18.32,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
09-091,17,21562,3.70,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17-A.png
09-091,17,18985,3.25,0,,2,16,+EUROPA,2-20220925000000-16.png
09-091,17,2220,0.38,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
09-091,21,7475,1.28,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
09-091,22,183546,31.46,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
09-091,22,64286,11.02,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
09-091,22,39243,6.73,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
09-091,22,5475,0.94,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
09-091,25,41466,7.11,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
09-091,28,2268,0.39,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
09-091,34,18659,3.20,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
10-101,1,52339,7.32,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
10-101,8,11824,1.65,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
10-101,9,711,0.10,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
10-101,13,6033,0.84,0,,0,6,VITA,2-20220925000000-6.png
10-101,17,160760,22.49,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
10-101,17,30961,4.33,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
10-101,17,23846,3.34,0,,2,16,+EUROPA,2-20220925000000-16.png
10-101,17,3366,0.47,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
10-101,21,12337,1.73,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
10-101,22,174283,24.39,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
10-101,22,66785,9.35,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
10-101,22,46083,6.45,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
10-101,22,15196,2.13,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
10-101,25,91386,12.79,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
10-101,34,18740,2.62,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
11-111,1,53155,8.63,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
11-111,8,8738,1.42,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
11-111,9,628,0.10,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
11-111,13,5371,0.87,0,,0,6,VITA,2-20220925000000-6.png
11-111,16,711,0.12,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
11-111,17,155476,25.24,1,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
11-111,17,26113,4.24,1,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
11-111,17,20187,3.28,1,,2,16,+EUROPA,2-20220925000000-16.png
11-111,17,2122,0.34,1,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
11-111,21,7988,1.30,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
11-111,22,161592,26.23,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
