CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
05,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
05,22,0,,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
05,22,0,,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
05,22,0,,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
05,22,0,,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
05,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
05,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
06,1,1,3.13,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
06,8,2,6.25,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
06,9,0,,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
06,13,0,,0,,0,6,VITA,2-20220925000000-6.png
06,17,12,37.50,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
06,17,0,39.39,0,,1,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
06,17,0,39.39,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
06,17,0,39.39,0,,3,16,+EUROPA,2-20220925000000-16.png
06,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
06,22,7,21.88,0,,0,11,FORZA ITALIA,2-20220925000000-11.png
06,22,4,12.50,0,,1,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
06,22,1,3.13,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
06,22,1,3.13,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
06,25,2,6.25,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
06,28,0,,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
06,34,2,6.25,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
06,51,0,,0,,0,4,FREE,2-20220925000000-4.png
07,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
07,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
07,13,0,,0,,0,6,VITA,2-20220925000000-6.png
07,17,0,,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
07,17,0,,0,,1,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
07,17,0,,0,,2,16,+EUROPA,2-20220925000000-16.png
07,17,0,,0,,3,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
07,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
07,22,0,,0,,0,11,FORZA ITALIA,2-20220925000000-11.png
07,22,0,,0,,1,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
07,22,0,,0,,2,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
07,22,0,,0,,3,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
07,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
07,28,0,,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
07,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
08,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
08,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
08,13,0,,0,,0,6,VITA,2-20220925000000-6.png
08,17,0,,0,,0,16,+EUROPA,2-20220925000000-16.png
08,17,0,,0,,1,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
08,17,0,,0,,2,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
08,17,0,,0,,3,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
08,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
08,22,0,,0,,0,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
08,22,0,,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
08,22,0,,0,,2,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
08,22,0,,0,,3,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
08,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
08,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
09,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
09,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
09,9,0,,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
09,13,0,,0,,0,6,VITA,2-20220925000000-6.png
09,17,0,,0,,0,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
09,17,0,,0,,1,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
09,17,0,,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17-A.png
09,17,0,,0,,3,16,+EUROPA,2-20220925000000-16.png
09,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
09,22,0,,0,,0,11,FORZA ITALIA,2-20220925000000-11.png
09,22,0,,0,,1,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
09,22,0,,0,,2,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
09,22,0,,0,,3,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
09,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
09,28,0,,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
09,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
10,1,2,6.25,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
10,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
10,9,0,,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
10,13,0,2.78,0,,0,6,VITA,2-20220925000000-6.png
